epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1978,1.62143,3.28404,1.57289,0.00333,1,0.2239,0.11834,1.01372,3.72328,1.08662,0.00064,0.00064,0.00064
2,92.9275,1.42238,2.14653,1.33974,0.78349,0.71053,0.78882,0.29399,1.86132,2.97112,1.63998,0.0012571,0.0012571,0.0012571
3,137.48,1.36389,1.91563,1.31326,0.83957,0.96416,0.90967,0.52762,1.28868,2.2981,1.22906,0.00183064,0.00183064,0.00183064
4,182.112,1.37369,1.66819,1.33165,0.95407,0.89474,0.94187,0.5608,1.34522,2.36431,1.2738,0.001802,0.001802,0.001802
5,226.619,1.34572,1.61937,1.33677,0.93165,0.89474,0.9323,0.67185,0.95914,1.69581,1.04179,0.001736,0.001736,0.001736
6,271.396,1.27536,1.48314,1.29912,0.48309,0.78705,0.5512,0.37397,1.00165,2.27307,1.01401,0.00167,0.00167,0.00167
7,315.91,1.29503,1.29429,1.26346,0.78081,0.92105,0.85196,0.54827,1.27311,1.7761,1.16656,0.001604,0.001604,0.001604
8,360.016,1.28751,1.25681,1.28772,0.85541,0.97368,0.87924,0.65229,0.99581,1.27018,1.03839,0.001538,0.001538,0.001538
9,404.115,1.18478,1.1692,1.25175,0.854,0.92367,0.90918,0.60679,1.20926,1.43743,1.18888,0.001472,0.001472,0.001472
10,448.247,1.27002,1.17007,1.29874,0.99595,1,0.995,0.75295,0.79499,1.05324,0.97912,0.001406,0.001406,0.001406
11,493.167,1.16262,1.08419,1.23385,0.99505,1,0.995,0.70439,0.99113,1.07393,1.02659,0.00134,0.00134,0.00134
12,538.063,1.17279,1.02255,1.21539,0.99489,1,0.995,0.7437,0.84689,0.79677,0.94653,0.001274,0.001274,0.001274
13,582.745,1.11699,0.94007,1.20571,0.9933,1,0.995,0.78262,0.74425,0.77848,0.93054,0.001208,0.001208,0.001208
14,627.276,1.1608,0.89858,1.21815,0.99009,1,0.995,0.75261,0.82019,0.75548,0.93839,0.001142,0.001142,0.001142
15,671.685,1.16432,0.87458,1.19066,0.9972,1,0.995,0.78912,0.73236,0.77955,0.92336,0.001076,0.001076,0.001076
16,716.33,1.0618,0.84198,1.17882,0.98411,1,0.995,0.7678,0.76346,0.74489,0.93722,0.00101,0.00101,0.00101
17,761.299,1.07233,0.80798,1.14567,0.97115,0.97368,0.97559,0.79634,0.8201,0.66769,0.9665,0.000944,0.000944,0.000944
18,806.328,1.01413,0.75364,1.13918,0.9894,0.97368,0.98907,0.72859,0.98752,0.64958,1.00605,0.000878,0.000878,0.000878
19,851.817,1.06019,0.78883,1.14429,1,0.99823,0.995,0.77921,0.74972,0.65772,0.92081,0.000812,0.000812,0.000812
20,897.433,1.03062,0.77643,1.15586,0.97431,0.99817,0.99449,0.78605,0.66539,0.59522,0.90481,0.000746,0.000746,0.000746
21,942.188,0.94331,0.68942,1.11161,0.97973,1,0.995,0.78996,0.71922,0.62243,0.90117,0.00068,0.00068,0.00068
22,987.257,0.92546,0.66291,1.10377,0.98961,1,0.995,0.82373,0.6287,0.57701,0.88518,0.000614,0.000614,0.000614
23,1031.74,0.90846,0.63306,1.10445,0.98994,1,0.995,0.82144,0.63111,0.575,0.89948,0.000548,0.000548,0.000548
24,1075.98,0.87119,0.64132,1.0752,0.99543,1,0.995,0.8067,0.66554,0.55273,0.90616,0.000482,0.000482,0.000482
25,1120.1,0.83415,0.58879,1.07751,0.99406,1,0.995,0.8221,0.65877,0.51046,0.89441,0.000416,0.000416,0.000416
26,1164.22,0.82898,0.57583,1.06229,0.99755,1,0.995,0.80481,0.6631,0.49376,0.89074,0.00035,0.00035,0.00035
27,1208.58,0.83356,0.58254,1.04777,0.99767,1,0.995,0.81353,0.6802,0.49253,0.89188,0.000284,0.000284,0.000284
28,1252.86,0.79385,0.56974,1.02626,0.99781,1,0.995,0.84529,0.62611,0.47562,0.88474,0.000218,0.000218,0.000218
29,1296.93,0.77819,0.54377,1.02296,0.99813,1,0.995,0.83596,0.63225,0.47118,0.88501,0.000152,0.000152,0.000152
30,1341.08,0.75979,0.54246,1.00097,0.99815,1,0.995,0.83998,0.64131,0.47285,0.88475,8.6e-05,8.6e-05,8.6e-05
